year,name,mileage,transmission,price,city
2009,Rolls-Royce Phantom,12500,Automatic,8500000000,DKI Jakarta
2016,Toyota Sienta,20000,Automatic,169000001,Jawa Timur
2018,Chevrolet Trax,15500,Automatic,195000000,DKI Jakarta
2008,Toyota Fortuner,67500,Automatic,177000000,DKI Jakarta
2018,Toyota Agya,25000,Automatic,117000000,DKI Jakarta
2013,Lamborghini Aventador,12500,Automatic,6500000000,DKI Jakarta
2013,Lamborghini Aventador,17500,Automatic,6500000000,DKI Jakarta
2013,Lamborghini Aventador,27500,Automatic,6500000000,DKI Jakarta
2017,Toyota Kijang Innova,48500,Automatic,248000000,DKI Jakarta
2019,Land Rover Range Rover Evoque,2500,Automatic,2300000000,DKI Jakarta
2013,Hyundai Santa Fe,70000,Automatic,218000000,DKI Jakarta
2010,Nissan X-Trail,69500,Automatic,108000000,DKI Jakarta
2019,Land Rover Range Rover Evoque,2500,Automatic,2050000000,DKI Jakarta
2014,Rolls-Royce Phantom,2500,Automatic,11000000000,DKI Jakarta
2010,Honda Jazz,72500,Automatic,138000000,Jawa Timur
2018,Suzuki Ignis,5156,Manual,125000000,Jawa Timur
2014,Honda CR-V,77500,Automatic,198000000,DKI Jakarta
2007,Toyota Alphard,46000,Automatic,165000000,DKI Jakarta
2014,Toyota Fortuner,112500,Automatic,260000000,DKI Jakarta
2017,Honda CR-V,42500,Automatic,368000000,DKI Jakarta
2014,BMW X1,32500,Automatic,275000000,DKI Jakarta
2015,Mercedes-Benz C250,21000,Automatic,535000000,DKI Jakarta
2018,Toyota Kijang Innova,2500,Automatic,258000000,DKI Jakarta
2020,Suzuki Jimny,650,Automatic,550000000,Jawa Barat
2019,Toyota Fortuner,2400,Automatic,485000000,Jawa Barat
2015,Toyota Vellfire,25500,Automatic,725000000,Jawa Barat
2017,Honda Civic,13500,Automatic,375000000,Jawa Barat
2005,Honda Jazz,77500,Automatic,83000000,Jawa Timur
2012,Toyota Alphard,31000,Automatic,360000000,DKI Jakarta
2019,Mazda CX-5,6500,Automatic,485000000,DKI Jakarta
2020,Toyota Fortuner,16000,Automatic,475000000,Banten
2016,Mitsubishi Pajero Sport,32000,Automatic,395000000,Banten
2018,Daihatsu Ayla,8500,Automatic,95000000,Banten
2017,Mazda Biante,31000,Automatic,255000000,Banten
2017,Toyota Kijang Innova,26000,Automatic,320000000,Banten
2019,Hyundai Santa Fe,25000,Automatic,470000000,Banten
2017,Toyota Alphard,22500,Automatic,835000000,Jawa Timur
2012,Toyota Vellfire,82500,Automatic,368000000,DKI Jakarta
2012,Mercedes-Benz C200,37500,Automatic,275000000,DKI Jakarta
2014,Mercedes-Benz E250,30000,Automatic,468000000,DKI Jakarta
2016,Toyota Alphard,25000,Automatic,758000000,DKI Jakarta
2011,Toyota Alphard,35000,Automatic,269000000,DKI Jakarta
2014,BMW 320i,25000,Automatic,349000000,DKI Jakarta
2010,BMW 320i,92500,Automatic,178000000,DKI Jakarta
2013,Toyota Fortuner,50000,Automatic,260000001,Jawa Timur
2013,Toyota Fortuner,50000,Automatic,261000001,Jawa Timur
2013,Toyota Fortuner,50000,Automatic,263000001,Jawa Timur
2009,BMW 523i,55000,Automatic,169000000,Jawa Barat
2010,Ford Escape,45000,Automatic,114000000,Jawa Barat
2008,BMW X5,42500,Automatic,249000000,DKI Jakarta
2009,Ford Escape,65000,Automatic,109000000,DKI Jakarta
2012,Mercedes-Benz B200,35000,Automatic,219000000,Jawa Barat
2013,Suzuki Ertiga,35000,Automatic,119000000,DKI Jakarta
2011,Daihatsu Gran Max,47500,Manual,64000000,DKI Jakarta
2008,Suzuki Neo Baleno,182500,Manual,79000000,DKI Jakarta
2007,Nissan Elgrand,70000,Automatic,164000000,Banten
2008,Mercedes-Benz C230,70000,Automatic,169000000,DKI Jakarta
2019,Mitsubishi Xpander,15000,Automatic,209000000,DKI Jakarta
2010,Hyundai H-1,80000,Automatic,169000000,DKI Jakarta
2011,Chevrolet Captiva,55000,Automatic,129000000,DKI Jakarta
2012,Chevrolet Aveo,45000,Automatic,89000000,DKI Jakarta
2010,Mazda CX-7,40000,Automatic,139000000,DKI Jakarta
2010,Toyota Corolla Altis,62500,Automatic,119000000,DKI Jakarta
2013,Toyota Fortuner,50000,Automatic,262000001,Jawa Timur
2006,Toyota Fortuner,80000,Automatic,149000001,Jawa Timur
2013,Toyota Fortuner,50000,Automatic,260000001,Jawa Timur
2014,BMW 328i,41446,Automatic,445000000,DKI Jakarta
2021,BMW X1,4866,Automatic,725000000,DKI Jakarta
2018,BMW 320i,9950,Automatic,575000000,DKI Jakarta
2021,BMW X1,1500,Automatic,810000000,DKI Jakarta
2019,BMW X3,10511,Automatic,915000000,DKI Jakarta
2019,BMW 330i,7344,Automatic,970000000,DKI Jakarta
2014,Honda Jazz,26500,Automatic,172000000,DKI Jakarta
2016,Daihatsu Gran Max,57500,Manual,89000000,Jawa Barat
2017,BMW 520d,22500,Automatic,730000000,Jawa Timur
2019,Mazda CX-9,7500,Automatic,680000000,Jawa Timur
2016,Toyota Kijang Innova,30950,Automatic,249000000,DKI Jakarta
2018,Toyota Alphard,17500,Automatic,997500000,Jawa Timur
2013,Nissan Evalia,77500,Automatic,89000000,DKI Jakarta
2019,Toyota Fortuner,2500,Automatic,469500000,DKI Jakarta
2008,Toyota Harrier,50000,Automatic,169000000,DKI Jakarta
2011,Toyota Alphard,102500,Automatic,268000000,DKI Jakarta
2017,Toyota Vellfire,17500,Automatic,818000000,DKI Jakarta
2014,Toyota Fortuner,127500,Automatic,280000000,Banten
2013,Honda Freed,72500,Automatic,140000000,Banten
2017,Toyota Sienta,52500,Automatic,185000000,Banten
2017,Suzuki SX4 S-Cross,57500,Automatic,180000000,Banten
2016,Nissan Serena,72500,Automatic,179000000,DKI Jakarta
2018,Toyota Rush,27098,Manual,205000000,DKI Jakarta
2018,Toyota Rush,16689,Manual,205000000,DKI Jakarta
2013,Honda Jazz,87500,Automatic,140000000,Banten
2015,Toyota Agya,25000,Automatic,87000000,DKI Jakarta
2019,Mitsubishi Pajero Sport,16674,Automatic,472000000,DKI Jakarta
2018,Honda HR-V,17325,Automatic,256500000,DKI Jakarta
2018,Daihatsu Sigra,72500,Manual,110000000,Banten
2015,Honda CR-V,32500,Automatic,255000000,DKI Jakarta
2016,Toyota Vellfire,35000,Automatic,745000000,DKI Jakarta
2011,Chevrolet Captiva,55000,Automatic,129000000,Jawa Barat
2020,Toyota Alphard,4000,Automatic,1125000000,DKI Jakarta
2017,BMW 530i,3500,Automatic,750000000,DKI Jakarta
2011,Honda Jazz,72500,Automatic,128000000,DKI Jakarta
2017,Maserati Ghibli,3500,Automatic,1150000000,DKI Jakarta
2015,Jeep Grand Cherokee,11250,Automatic,710000000,Banten
2018,Hyundai Santa Fe,7500,Automatic,420000000,Banten
2008,Toyota Yaris,107500,Automatic,102500000,Jawa Timur
2012,Honda Jazz,72500,Automatic,152500000,Jawa Timur
2019,Honda HR-V,37500,Automatic,275000000,Jawa Timur
2020,Toyota Rush,6250,Automatic,229000000,DKI Jakarta
2020,Honda HR-V,12500,Automatic,299000000,DKI Jakarta
2011,Honda CR-V,61500,Automatic,138000000,DKI Jakarta
2016,Toyota Fortuner,47500,Automatic,385000000,Jawa Timur
2015,Nissan Serena,47500,Automatic,218000000,DKI Jakarta
2017,Mitsubishi Pajero Sport,25500,Automatic,410000000,DKI Jakarta
2006,Toyota Fortuner,80000,Automatic,151000001,Jawa Timur
2018,Toyota Kijang Innova,21000,Automatic,255000000,DKI Jakarta
2006,Toyota Fortuner,80000,Automatic,152000001,Jawa Timur
2019,Toyota Kijang Innova,17500,Automatic,375000000,Jawa Timur
2006,Toyota Fortuner,80000,Automatic,150000001,Jawa Timur
2006,Toyota Fortuner,80000,Automatic,153000001,Jawa Timur
2017,Toyota Avanza,30000,Manual,120000001,Jawa Timur
2017,Toyota Avanza,30000,Manual,121000001,Jawa Timur
2017,Toyota Avanza,30000,Manual,119000001,Jawa Timur
2017,Toyota Avanza,30000,Manual,120000001,Jawa Timur
2017,Toyota Avanza,30000,Manual,119000001,Jawa Timur
2019,Mitsubishi Xpander,47500,Manual,202500000,Jawa Timur
2015,Toyota Etios Valco,50000,Manual,90000001,Jawa Timur
2015,Toyota Etios Valco,50000,Manual,89000001,Jawa Timur
2015,Toyota Etios Valco,50000,Manual,89000001,Jawa Timur
2015,Toyota Etios Valco,50000,Manual,90000001,Jawa Timur
2015,Toyota Etios Valco,70000,Manual,89000001,Jawa Timur
2019,Toyota Rush,30000,Automatic,219000001,Jawa Timur
2019,Toyota Rush,30000,Automatic,219000001,Jawa Timur
2019,Toyota Rush,30000,Automatic,220000001,Jawa Timur
2019,Toyota Rush,30000,Automatic,219000001,Jawa Timur
2019,Toyota Rush,30000,Automatic,220000001,Jawa Timur
